Fecha extracción;Fecha de nacimiento;Ciudad;País;Código postal;;;;;;
23/01/2024 14:20;21/11/1997;A CORUÑA;España;15009;;;;;;
23/01/2024 14:20;15/12/1997;A CORUÑA;España;15110;;;;;;
23/01/2024 14:20;30/01/1998;A CORUÑA;España;15007;;;;;;
23/01/2024 14:20;21/11/1998;A CORUÑA;España;15011;;;;;;
23/01/2024 14:20;12/12/1999;A CORUÑA;España;15660;;;;;;
23/01/2024 14:20;17/06/2001;A CORUÑA;España;15179;;;;;;
23/01/2024 14:20;14/10/1999;A POBRA DO CARAMIÑAL;España;15940;;;;;;
23/01/2024 14:20;12/05/1998;AGRAMÓN;España;2490;;;;;;
23/01/2024 14:20;24/09/1999;AGÜERO;España;39719;;;;;;
23/01/2024 14:20;03/05/1997;AGUILAR DE CAMPOO;España;34800;;;;;;
23/01/2024 14:20;23/03/1997;AGUILAR DE LA FRONTERA;España;14920;;;;;;
23/01/2024 14:20;17/04/1997;AGUILAR DE LA FRONTERA;España;14920;;;;;;
23/01/2024 14:20;09/10/2000;ÁGUILAS;España;30880;;;;;;
23/01/2024 14:20;28/02/1997;AJALVIR;España;28864;;;;;;
23/01/2024 14:20;21/08/1998;AJALVIR;España;28864;;;;;;
23/01/2024 14:20;15/04/2004;AJALVIR;España;28864;;;;;;
23/01/2024 14:20;24/11/1997;AJALVIR ;España;28864;;;;;;
23/01/2024 14:20;23/11/1998;ALACANT;España;3440;;;;;;
23/01/2024 14:20;27/08/1999;ALAIOR;España;7730;;;;;;
23/01/2024 14:20;27/06/1997;ALALPARDO;España;28130;;;;;;
23/01/2024 14:20;31/01/2001;ALALPARDO;España;28130;;;;;;
23/01/2024 14:20;24/08/2021;ALALPARDO;España;28130;;;;;;
23/01/2024 14:20;06/04/1998;ALAMEDA DE LA SAGRA;España;45240;;;;;;
23/01/2024 14:20;22/06/1998;ALAMEDA DE LA SAGRA;España;45240;;;;;;
23/01/2024 14:20;30/11/1999;ALAMEDA DE LA SAGRA;España;45240;;;;;;
23/01/2024 14:20;19/07/1997;ALBACETE;España;2004;;;;;;
23/01/2024 14:20;20/05/1998;ALBACETE;España;2006;;;;;;
23/01/2024 14:20;12/11/1998;ALBACETE;España;2006;;;;;;
23/01/2024 14:20;13/01/1999;ALBACETE;España;2002;;;;;;
23/01/2024 14:20;27/11/2000;ALBACETE;España;2005;;;;;;
23/01/2024 14:20;22/09/1999;ALBACETE ;España;2005;;;;;;
23/01/2024 14:20;24/01/1997;ALCALÁ DE HENARES;España;28806;;;;;;
23/01/2024 14:20;28/03/1997;ALCALÁ DE HENARES;España;28805;;;;;;
23/01/2024 14:20;31/05/1997;ALCALÁ DE HENARES;España;28805;;;;;;
23/01/2024 14:20;09/06/1997;ALCALÁ DE HENARES;España;28805;;;;;;
23/01/2024 14:20;27/07/1997;ALCALÁ DE HENARES;España;28804;;;;;;
23/01/2024 14:20;10/10/1997;ALCALÁ DE HENARES;España;28803;;;;;;
23/01/2024 14:20;18/10/1997;ALCALÁ DE HENARES;España;28807;;;;;;
23/01/2024 14:20;12/11/1997;ALCALÁ DE HENARES;España;28803;;;;;;
23/01/2024 14:20;02/12/1997;ALCALÁ DE HENARES;España;28803;;;;;;
23/01/2024 14:20;22/12/1997;ALCALÁ DE HENARES;España;28805;;;;;;
23/01/2024 14:20;12/01/1998;ALCALÁ DE HENARES;España;28801;;;;;;
23/01/2024 14:20;28/02/1998;ALCALÁ DE HENARES;España;28806;;;;;;
23/01/2024 14:20;21/03/1998;ALCALÁ DE HENARES;España;28805;;;;;;
23/01/2024 14:20;02/04/1998;ALCALÁ DE HENARES;España;28806;;;;;;
23/01/2024 14:20;11/05/1998;ALCALÁ DE HENARES;España;28804;;;;;;
23/01/2024 14:20;08/07/1998;ALCALÁ DE HENARES;España;28806;;;;;;
23/01/2024 14:20;09/07/1998;ALCALÁ DE HENARES;España;28805;;;;;;
23/01/2024 14:20;26/08/1998;ALCALÁ DE HENARES;España;28806;;;;;;
23/01/2024 14:20;28/08/1998;ALCALÁ DE HENARES;España;28806;;;;;;
23/01/2024 14:20;06/09/1998;ALCALÁ DE HENARES;España;28805;;;;;;
23/01/2024 14:20;03/12/1998;ALCALÁ DE HENARES;España;28806;;;;;;
23/01/2024 14:20;13/01/1999;ALCALÁ DE HENARES;España;28805;;;;;;
23/01/2024 14:20;14/02/1999;ALCALÁ DE HENARES;España;28806;;;;;;
